idviagem;taxa;datapartida;datachegada;cidade_origem;pais_origem;cidade_destino;pais_destino;nomecondutor;idadecondutor;certificacao;nomebarco;tipobarco;capacidadeteu;sexo;numerocontentares;peso
153;11110,35;17/06/2025;23/06/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Pedro Silva;25;STCW A-II/1;SS Atlântico 430;ro-ro;623;h;529;5819
154;17174,88;29/06/2025;16/07/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Carolina Gonçalves;38;CoC Class 1;MV Poseidon 160;petroleiro;0;m;7;77
155;5006,19;13/03/2024;28/03/2024;Le Havre;França;FigueiraDaFoz;Portugal;Rui Jesus;46;CoC Class 2;NS Íris 425;graneleiro;0;h;4;72
156;14567;15/12/2024;26/12/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Gonçalo Pereira;41;CoC Class 1;MV Minho 695;graneleiro;0;h;9;126
157;10041,53;13/09/2024;21/09/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Helena Sousa;59;STCW A-II/1;NS Poseidon 8;cargueiro;0;m;7;84
158;38237,82;29/10/2024;12/11/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Marta Oliveira;50;CoC Class 1;MT Lusitania 8;petroleiro;0;m;3;48
159;8239,22;18/03/2024;20/03/2024;Génova;Itália;FigueiraDaFoz;Portugal;Carolina Oliveira;50;CoC Class 2;SS Guadiana 74;ro-ro;4721;m;4349;73933
160;37731,2;07/01/2024;10/01/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Paulo Silva;47;CoC Class 2;MT Neptuno 588;container;19681;h;7469;104566
161;18353,19;22/05/2025;04/06/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Mariana Pereira;42;CoC Class 2;MT Caravela 821;container;8173;m;4522;58786
162;16781,88;15/01/2024;20/01/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Joana Ferreira;52;CoC Class 2;SS Neptuno 604;container;1562;m;1437;21555
163;44635,84;18/08/2024;30/08/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Nuno Sousa;49;Pilotage;SS Mondego 798;petroleiro;0;h;3;54
164;32792,32;30/07/2024;03/08/2024;Le Havre;França;FigueiraDaFoz;Portugal;Gonçalo Pereira;34;Yachtmaster;SS Guadiana 360;ro-ro;166;h;141;1410
165;27318,22;25/05/2024;09/06/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Tiago Oliveira;60;CoC Class 1;SS Sagres 779;cargueiro;0;h;3;42
166;22151,32;03/02/2024;18/02/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Filipe Lopes;32;Yachtmaster;NS Mondego 885;ro-ro;4107;h;1438;24446
167;18791,03;17/08/2025;27/08/2025;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Manuel Ferreira;61;CoC Class 2;MT Tejo 606;graneleiro;0;h;6;60
168;30682,97;08/10/2024;10/10/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Helena Ferreira;30;CoC Class 1;NS Poseidon 59;graneleiro;0;m;4;80
169;24902,68;15/10/2024;21/10/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Sofia Ferreira;30;Yachtmaster;NS Íris 595;ro-ro;5722;m;2355;42390
170;9495,31;15/12/2024;26/12/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Manuel Pinto;54;Pilotage;MT Gaivota 514;cargueiro;0;h;6;120
171;35151,11;16/05/2024;19/05/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Manuel Pereira;55;CoC Class 1;SS Poseidon 254;container;17947;h;15245;243920
172;29223,92;10/08/2024;16/08/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Helena Ribeiro;26;Yachtmaster;MT Guadiana 940;cargueiro;0;m;9;99
173;48778,29;15/03/2024;19/03/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Teresa Fernandes;39;Pilotage;MV Mondego 68;ro-ro;745;m;638;10208
174;28281,38;28/08/2025;03/09/2025;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Henrique Alves;26;CoC Class 1;SS Mondego 84;petroleiro;0;h;4;40
175;10165,14;26/01/2025;14/02/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Diogo Sousa;29;Pilotage;SS Atlântida 318;graneleiro;0;h;5;85
176;25872,91;27/04/2024;01/05/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Raquel Oliveira;43;Pilotage;MV Neptuno 521;ro-ro;823;m;711;7110
177;30920,38;22/04/2024;04/05/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Diogo Sousa;25;STCW A-II/2;MT Gaivota 197;cargueiro;0;h;7;105
178;8563,77;15/11/2024;21/11/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Pedro Ferreira;61;CoC Class 1;MV Mondego 898;container;2417;h;1773;31914
179;17493,61;15/09/2024;16/09/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Vítor Alves;30;STCW A-II/2;SS Caravela 739;cargueiro;0;h;4;80
180;27897,18;10/01/2024;15/01/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Paulo Gonçalves;47;Pilotage;NS Minho 771;cargueiro;0;h;7;91
181;5305,54;13/01/2024;21/01/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Henrique Martins;26;CoC Class 1;SS Guadiana 695;graneleiro;0;h;7;105
182;6718,11;14/11/2024;19/11/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Cláudia Sousa;33;CoC Class 2;NS Caravela 837;ro-ro;2932;m;2620;47160
183;6228,26;03/07/2025;06/07/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Luís Santos;54;Pilotage;MT Lusitania 729;graneleiro;0;h;7;105
184;46713,97;03/08/2025;15/08/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Hugo Ferreira;38;STCW A-II/2;NS Sagres 851;petroleiro;0;h;3;57
185;19582,2;03/04/2025;12/04/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Ricardo Lopes;58;CoC Class 1;NS Poseidon 406;container;19519;h;11307;180912
186;3356,64;27/05/2025;04/06/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Sara Alves;46;STCW A-II/1;SS Nereida 327;petroleiro;0;m;4;52
187;39968,1;14/12/2024;22/12/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Beatriz Oliveira;35;STCW A-II/1;NS Sagres 778;petroleiro;0;m;3;30
188;40914,16;26/09/2024;29/09/2024;Génova;Itália;FigueiraDaFoz;Portugal;Catarina Silva;45;STCW A-II/1;MT Argonauta 856;container;16024;m;8452;92972
189;45485,44;13/01/2025;27/01/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Inês Sousa;50;STCW A-II/2;MV Poseidon 245;petroleiro;0;m;7;119
190;41013,37;23/08/2025;05/09/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Sofia Pereira;49;CoC Class 2;MV Açor 736;ro-ro;2549;m;1591;25456
191;45083,7;21/10/2024;29/10/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Teresa Silva;38;Yachtmaster;SS Neptuno 192;petroleiro;0;m;4;72
192;22498,49;28/09/2025;04/10/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Sofia Ribeiro;57;Yachtmaster;MV Atlântico 895;ro-ro;5242;m;4838;77408
193;4264,34;24/05/2024;25/05/2024;Génova;Itália;FigueiraDaFoz;Portugal;Nuno Gonçalves;26;CoC Class 1;MT Atlântida 354;container;18881;h;16500;198000
194;17410,38;13/04/2024;02/05/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Artur Fernandes;30;STCW A-II/2;MT Mondego 834;container;18086;h;12518;187770
195;25275,76;23/03/2025;12/04/2025;Le Havre;França;FigueiraDaFoz;Portugal;Gabriela Costa;39;STCW A-II/2;NS Poseidon 301;container;6288;m;2981;32791
196;39641,26;22/04/2025;29/04/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Carlos Santos;51;CoC Class 1;NS Gaivota 260;petroleiro;0;h;4;56
197;39150,03;03/07/2025;04/07/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Hugo Gonçalves;61;STCW A-II/1;MT Lusitania 819;petroleiro;0;h;8;136
198;35989,14;15/10/2024;19/10/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Rita Lopes;46;CoC Class 2;SS Gaivota 709;petroleiro;0;m;6;102
199;6042,89;31/05/2025;10/06/2025;Génova;Itália;FigueiraDaFoz;Portugal;Helena Jesus;57;STCW A-II/1;MV Neptuno 617;graneleiro;0;m;9;144
200;23393,01;07/06/2024;22/06/2024;Le Havre;França;FigueiraDaFoz;Portugal;Raquel Pereira;60;STCW A-II/1;MT Minho 457;petroleiro;0;m;3;54
201;24831,52;15/01/2024;23/01/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Carolina Lopes;29;CoC Class 1;MV Guadiana 630;graneleiro;0;m;9;162
202;1597,95;19/11/2024;01/12/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Maria Ferreira;26;Pilotage;MT Caravela 976;graneleiro;0;m;5;95
203;27593,5;18/09/2025;07/10/2025;Vigo;Espanha;FigueiraDaFoz;Portugal;Vítor Lopes;60;STCW A-II/1;MV Açor 798;cargueiro;0;h;3;48
204;47994,66;09/10/2024;14/10/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Rita Pinto;44;STCW A-II/1;SS Íris 972;ro-ro;4206;m;3880;46560
205;21756,25;03/07/2025;09/07/2025;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Cláudia Ferreira;32;Yachtmaster;MT Atlântico 322;cargueiro;0;m;3;36
206;45680,77;11/12/2024;25/12/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Tiago Silva;36;Pilotage;NS Atlântico 936;cargueiro;0;h;5;100
207;13544,76;07/09/2025;25/09/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Luís Jesus;49;Pilotage;SS Minho 711;graneleiro;0;h;6;102
208;6008,42;07/09/2025;18/09/2025;Génova;Itália;FigueiraDaFoz;Portugal;Tiago Oliveira;36;STCW A-II/1;SS Íris 90;graneleiro;0;h;8;80
209;35654,69;19/11/2024;24/11/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Sofia Carvalho;61;Yachtmaster;MT Caravela 729;petroleiro;0;m;5;55
210;19347,33;15/04/2024;02/05/2024;Le Havre;França;FigueiraDaFoz;Portugal;Helena Martins;52;STCW A-II/1;SS Açor 810;cargueiro;0;m;8;160
211;45623,62;20/02/2024;05/03/2024;Génova;Itália;FigueiraDaFoz;Portugal;Diogo Carvalho;46;Yachtmaster;NS Sagres 627;petroleiro;0;h;7;119
212;7108,47;04/09/2025;18/09/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Hugo Alves;60;Pilotage;NS Neptuno 844;graneleiro;0;h;5;100
213;19585,98;01/01/2024;20/01/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Pedro Fernandes;39;Pilotage;NS Íris 697;container;3208;h;2980;47680
214;39601,7;04/11/2024;13/11/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Beatriz Carvalho;34;Pilotage;SS Sagres 444;ro-ro;3607;m;2207;22070
215;43312,39;28/07/2025;17/08/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Tiago Ribeiro;49;STCW A-II/2;SS Caravela 331;petroleiro;0;h;3;60
216;24561,01;20/01/2025;27/01/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Helena Sousa;42;STCW A-II/1;SS Tejo 129;petroleiro;0;m;9;108
217;25420,02;12/12/2024;29/12/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Gonçalo Costa;48;Yachtmaster;SS Caravela 675;ro-ro;4220;h;1679;23506
218;11784,76;15/05/2025;16/05/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Bárbara Santos;53;STCW A-II/1;MV Tejo 667;container;5257;m;2692;40380
219;48092,45;13/04/2025;30/04/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Catarina Silva;31;CoC Class 2;MT Minho 495;ro-ro;5044;m;2766;41490
220;16186,91;27/05/2024;04/06/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Mariana Lopes;31;STCW A-II/1;SS Íris 426;container;10484;m;8971;116623
221;18119,96;02/08/2024;21/08/2024;Génova;Itália;FigueiraDaFoz;Portugal;Marta Fernandes;43;Yachtmaster;MT Mondego 752;cargueiro;0;m;9;90
222;41991,68;11/10/2024;28/10/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Beatriz Gonçalves;53;Yachtmaster;MV Mondego 248;ro-ro;385;m;293;3223
223;39000,85;19/01/2024;06/02/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Luís Lopes;25;STCW A-II/2;MV Poseidon 298;cargueiro;0;h;8;144
224;24573,31;23/06/2024;11/07/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Sara Costa;26;CoC Class 1;MT Argonauta 782;ro-ro;5183;m;3586;50204
225;9914,48;09/08/2024;15/08/2024;Le Havre;França;FigueiraDaFoz;Portugal;Helena Lopes;28;CoC Class 2;NS Nereida 93;petroleiro;0;m;7;70
226;19292,16;24/02/2024;02/03/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Sara Rodrigues;27;Yachtmaster;MV Poseidon 289;petroleiro;0;m;3;51
227;48967,64;02/04/2025;21/04/2025;Génova;Itália;FigueiraDaFoz;Portugal;Mariana Carvalho;58;STCW A-II/1;NS Sagres 904;container;14922;m;9325;130550
228;20991,24;26/06/2024;03/07/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Rita Gonçalves;53;STCW A-II/1;MV Argonauta 372;graneleiro;0;m;6;96
229;10609,54;08/11/2024;11/11/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Sofia Alves;48;Yachtmaster;MT Lusitania 132;graneleiro;0;m;6;78
230;9748,69;23/11/2024;08/12/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Joana Fernandes;61;Yachtmaster;SS Argonauta 617;petroleiro;0;m;8;104
231;12915,44;31/08/2025;15/09/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Helena Santos;32;STCW A-II/1;SS Mondego 824;container;8470;m;5249;83984
232;20461,99;18/03/2024;01/04/2024;Génova;Itália;FigueiraDaFoz;Portugal;Beatriz Teixeira;40;Yachtmaster;MT Mondego 167;cargueiro;0;m;5;100
233;44920,46;13/06/2024;27/06/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Bárbara Fernandes;55;Yachtmaster;NS Minho 487;ro-ro;922;m;688;8256
234;42558,28;07/01/2024;17/01/2024;Vigo;Espanha;FigueiraDaFoz;Portugal;Raquel Pereira;31;CoC Class 2;MT Nereida 612;ro-ro;2298;m;787;11805
235;21649,8;15/09/2025;04/10/2025;Génova;Itália;FigueiraDaFoz;Portugal;Bárbara Pinto;60;STCW A-II/2;NS Caravela 537;container;18192;m;8524;136384
236;13711,75;28/05/2025;29/05/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Beatriz Martins;29;STCW A-II/1;MV Argonauta 20;ro-ro;3694;m;2223;26676
237;2677,18;20/01/2025;23/01/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Teresa Oliveira;47;CoC Class 2;NS Gaivota 894;cargueiro;0;m;6;84
238;21061,17;15/06/2025;20/06/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Gonçalo Rodrigues;61;Yachtmaster;NS Atlântico 322;petroleiro;0;h;9;162
239;47474,21;13/08/2024;25/08/2024;Le Havre;França;FigueiraDaFoz;Portugal;Daniela Fernandes;59;Yachtmaster;MT Gaivota 197;petroleiro;0;m;6;108
240;28723,05;29/12/2024;15/01/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Daniela Sousa;34;STCW A-II/2;MT Argonauta 707;petroleiro;0;m;3;42
241;40192,91;28/02/2024;13/03/2024;Génova;Itália;FigueiraDaFoz;Portugal;Gabriela Gonçalves;47;Yachtmaster;MT Lusitania 588;petroleiro;0;m;4;44
242;37342,66;24/04/2024;11/05/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Rita Gonçalves;38;STCW A-II/2;MV Minho 979;petroleiro;0;m;6;72
243;7828,45;24/08/2024;31/08/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Cláudia Jesus;33;Pilotage;SS Argonauta 848;graneleiro;0;m;6;96
244;45128,04;22/08/2024;05/09/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Daniela Jesus;28;STCW A-II/2;SS Açor 52;container;9133;m;6143;67573
245;41306,61;01/09/2025;06/09/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Ricardo Santos;35;STCW A-II/1;MT Gaivota 103;graneleiro;0;h;8;144
246;25406,45;07/05/2024;17/05/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Henrique Costa;60;CoC Class 2;NS Argonauta 775;graneleiro;0;h;7;105
247;36289,93;03/02/2024;20/02/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Mariana Santos;61;STCW A-II/1;SS Poseidon 936;ro-ro;5597;m;4472;80496
248;7707,4;20/09/2025;30/09/2025;Le Havre;França;FigueiraDaFoz;Portugal;Carolina Santos;46;CoC Class 2;SS Minho 898;graneleiro;0;m;4;80
249;13285,8;13/10/2024;19/10/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Hugo Pinto;51;Yachtmaster;MT Minho 466;container;4763;h;1438;25884
250;21519,76;30/03/2025;09/04/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Beatriz Ribeiro;41;CoC Class 2;SS Lusitania 339;petroleiro;0;m;8;136
251;9147,89;20/04/2025;04/05/2025;Le Havre;França;FigueiraDaFoz;Portugal;Patrícia Costa;26;STCW A-II/1;MT Argonauta 180;petroleiro;0;m;4;80
252;4344,24;28/12/2024;29/12/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Teresa Ribeiro;60;CoC Class 1;NS Lusitania 190;container;13581;m;7919;150461
253;36233,25;22/10/2024;02/11/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Raquel Martins;60;STCW A-II/1;NS Açor 458;petroleiro;0;m;9;108
254;7615,06;14/08/2024;16/08/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Mariana Pinto;48;Pilotage;MV Tejo 670;ro-ro;4953;m;2735;54700
255;27452,3;07/11/2024;08/11/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Miguel Pereira;60;CoC Class 2;SS Atlântico 703;petroleiro;0;h;8;96
256;8578,93;11/04/2025;14/04/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Inês Sousa;41;CoC Class 1;SS Açor 981;ro-ro;4560;m;2104;23144
257;36681,25;19/07/2024;21/07/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Beatriz Lopes;33;Pilotage;MT Neptuno 719;ro-ro;2443;m;2111;42220
258;4720,74;04/08/2024;15/08/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Daniela Rodrigues;49;STCW A-II/2;MV Íris 541;ro-ro;5258;m;4282;55666
259;29921,3;12/05/2025;17/05/2025;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Artur Pereira;54;STCW A-II/1;SS Sagres 169;ro-ro;4297;h;2768;35984
260;34837,45;01/10/2024;06/10/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Inês Rodrigues;41;Pilotage;NS Atlântida 921;ro-ro;429;m;251;4016
261;47950,37;11/05/2025;26/05/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Maria Lopes;36;STCW A-II/2;NS Íris 578;ro-ro;1441;m;1106;13272
262;40521,5;04/12/2024;12/12/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Mariana Silva;55;CoC Class 2;MV Argonauta 593;petroleiro;0;m;9;171
263;13233,73;29/04/2025;15/05/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Paulo Gonçalves;30;Pilotage;MV Atlântida 957;container;5819;h;3525;59925
264;34965,59;29/03/2024;10/04/2024;Génova;Itália;FigueiraDaFoz;Portugal;Hugo Marques;39;STCW A-II/2;NS Guadiana 913;cargueiro;0;h;7;98
265;3164,11;03/05/2025;16/05/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Rita Alves;50;STCW A-II/1;SS Guadiana 122;ro-ro;146;m;67;1273
266;9848,19;16/01/2024;23/01/2024;Le Havre;França;FigueiraDaFoz;Portugal;Helena Oliveira;41;Pilotage;MV Nereida 306;cargueiro;0;m;8;120
267;6905,61;26/03/2024;02/04/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Daniela Alves;38;STCW A-II/2;NS Guadiana 159;cargueiro;0;m;5;55
268;48581,85;02/06/2025;11/06/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Tiago Santos;32;Pilotage;MV Açor 212;graneleiro;0;h;7;112
269;3689,25;21/04/2025;09/05/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Vítor Santos;55;CoC Class 2;MV Açor 759;ro-ro;5185;h;4640;88160
270;32858,2;05/02/2025;15/02/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Cláudia Martins;41;Yachtmaster;MV Sagres 516;cargueiro;0;m;4;48
271;35118,15;31/05/2024;03/06/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Artur Fernandes;58;Yachtmaster;MT Açor 310;ro-ro;230;h;87;1479
272;27381,67;01/07/2024;13/07/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Paulo Sousa;39;CoC Class 1;SS Neptuno 570;container;7140;h;2437;24370
273;44412,91;31/01/2025;18/02/2025;Génova;Itália;FigueiraDaFoz;Portugal;Diogo Alves;57;Yachtmaster;NS Neptuno 153;petroleiro;0;h;6;90
274;2195,64;01/03/2025;13/03/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Carolina Carvalho;26;CoC Class 2;SS Minho 879;cargueiro;0;m;4;64
275;1011,64;18/06/2024;20/06/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Maria Carvalho;54;CoC Class 2;SS Atlântico 249;graneleiro;0;m;9;135
276;46696,91;20/05/2024;07/06/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Bruno Ferreira;56;CoC Class 2;MV Argonauta 53;petroleiro;0;h;8;96
277;20694,61;08/02/2024;22/02/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Catarina Teixeira;53;STCW A-II/1;SS Argonauta 491;container;18916;m;11715;187440
278;43810,18;01/09/2024;13/09/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Mariana Silva;40;STCW A-II/2;MV Gaivota 937;cargueiro;0;m;6;72
279;21470,57;26/08/2024;05/09/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Nuno Martins;54;Yachtmaster;MT Atlântico 478;petroleiro;0;h;9;108
280;12700,08;24/12/2024;13/01/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Mariana Jesus;29;CoC Class 1;NS Íris 101;ro-ro;2724;m;1955;29325
281;15553,14;03/01/2024;16/01/2024;Génova;Itália;FigueiraDaFoz;Portugal;Marta Gonçalves;38;CoC Class 1;MV Açor 760;graneleiro;0;m;6;120
282;1875,82;19/11/2024;07/12/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Luís Carvalho;61;Yachtmaster;NS Minho 157;ro-ro;531;h;229;3435
283;7097,44;07/08/2025;22/08/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Sara Alves;48;Yachtmaster;NS Mondego 264;cargueiro;0;m;5;65
284;5381,14;05/07/2024;10/07/2024;Génova;Itália;FigueiraDaFoz;Portugal;Cláudia Costa;61;Pilotage;SS Sagres 738;petroleiro;0;m;8;104
285;45282,47;15/03/2025;29/03/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Carolina Carvalho;48;Pilotage;MV Atlântida 968;container;8702;m;8152;154888
286;12351,91;13/08/2024;20/08/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Paulo Oliveira;28;Pilotage;MV Sagres 10;cargueiro;0;h;9;99
287;19820,44;28/07/2025;16/08/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Joana Santos;34;Yachtmaster;NS Gaivota 17;ro-ro;4421;m;1554;21756
288;40237,71;20/05/2025;23/05/2025;Vigo;Espanha;FigueiraDaFoz;Portugal;Ana Silva;30;Yachtmaster;MT Nereida 515;petroleiro;0;m;6;66
289;44305,51;23/02/2024;09/03/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Tiago Pereira;47;Yachtmaster;SS Argonauta 635;cargueiro;0;h;6;60
290;44974,37;08/04/2024;28/04/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Joana Jesus;59;CoC Class 2;MT Atlântico 471;container;15051;m;13165;236970
291;29424,22;29/04/2024;14/05/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Ricardo Sousa;49;Pilotage;MV Atlântida 416;container;5175;h;2550;45900
292;7346,23;01/09/2025;12/09/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Daniela Nunes;27;STCW A-II/1;SS Atlântida 512;container;11374;m;3762;45144
293;33106,86;10/10/2025;13/10/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Bárbara Pereira;49;Yachtmaster;SS Argonauta 923;container;14274;m;12572;150864
294;21014,21;17/09/2024;28/09/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Patrícia Santos;58;STCW A-II/1;MV Caravela 952;petroleiro;0;m;4;40
295;3390,4;07/02/2024;15/02/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Carlos Pinto;29;STCW A-II/2;MV Minho 167;graneleiro;0;h;5;60
296;4730,41;29/03/2025;03/04/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Artur Alves;37;Pilotage;MT Atlântico 774;ro-ro;895;h;370;5180
297;30027,98;15/08/2025;02/09/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Gonçalo Gonçalves;56;STCW A-II/1;NS Açor 859;container;17201;h;15817;221438
298;27645,17;18/11/2024;26/11/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Catarina Teixeira;58;Yachtmaster;MT Nereida 650;graneleiro;0;m;5;75
299;33264,14;15/10/2024;21/10/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Gabriela Martins;48;CoC Class 1;NS Neptuno 191;ro-ro;2483;m;2346;35190
300;42013,65;18/12/2024;03/01/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Sofia Teixeira;37;CoC Class 1;MV Atlântida 275;cargueiro;0;m;3;51
301;31311,96;10/12/2024;20/12/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Beatriz Alves;60;CoC Class 1;MV Atlântida 6;petroleiro;0;m;5;65
302;44162,67;25/02/2025;04/03/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Joana Jesus;29;STCW A-II/1;MV Caravela 442;cargueiro;0;m;3;57
303;41177,4;31/01/2024;10/02/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Inês Silva;34;STCW A-II/1;MV Mondego 885;petroleiro;0;m;8;136
304;28252,91;12/03/2025;19/03/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Hugo Marques;55;CoC Class 2;SS Caravela 702;container;19287;h;7063;120071
305;15064,87;11/08/2025;23/08/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Pedro Jesus;26;CoC Class 1;NS Sagres 65;petroleiro;0;h;5;100
